feature_dim1,feature_dim2,predicted_r
-0.88029885,-1.2242289,2.7284732
-11.272135,-15.555906,3.7148252
-15.138331,-21.097168,4.1750603
-2.8658824,-3.2467787,3.146377
-12.142153,-16.776596,3.8143163
-13.007413,-18.003372,3.9179072
-11.362041,-15.678643,3.7233691
-8.040062,-10.955821,3.483462
-11.798707,-16.302692,3.7735639
-10.757871,-14.763686,3.6689346
-12.513977,-17.320747,3.8593082
-10.007593,-13.712394,3.6177316
-27.36503,-38.40914,5.7433157
-6.533662,-8.878337,3.380456
-11.131888,-15.355517,3.7011175
-13.271306,-18.429626,3.950962
-9.251745,-12.686088,3.566681
-7.9164314,-10.769998,3.4748201
-11.35469,-15.673293,3.7228703
-12.794592,-17.704945,3.8925207
-11.023886,-15.179682,3.6896434
-9.533632,-13.058496,3.5855517
-11.229877,-15.496681,3.7107444
-11.674757,-16.117382,3.7584562
-6.4284077,-8.71523,3.372727
-2.7379148,-3.6082184,3.1605122
-10.165935,-13.978674,3.6292589
-12.384989,-17.12355,3.8434637
-11.111847,-15.326685,3.69915
-8.741308,-11.954598,3.5315814
-8.1468725,-11.109058,3.490809
-3.9754105,-5.3443236,3.2048645
-17.21208,-24.08644,4.426433
-10.033277,-13.772523,3.619876
-11.501745,-15.876226,3.7378588
-10.850098,-14.936246,3.6759324
-11.757559,-16.236368,3.768414
-11.020895,-15.158515,3.6886296
-12.020063,-16.617405,3.8000894
-9.549984,-13.095647,3.5868988
-11.619175,-16.036528,3.7517443
-2.240471,-2.964797,3.1275487
-14.977195,-20.869598,4.1557927
-10.376974,-14.276141,3.6436896
-14.331896,-20.083858,4.0821576
-11.419662,-15.762635,3.7290716
-10.138966,-13.936635,3.6273494
-10.525075,-14.472841,3.653621
-11.364901,-15.698971,3.724341
-11.30556,-15.60021,3.7179449
-10.013988,-13.74616,3.6185703
-11.78772,-16.288593,3.7722898
-8.790895,-12.008723,3.5347161
-11.253783,-15.52703,3.7129183
-9.460188,-12.990806,3.5811114
-15.395491,-21.459457,4.205783
-13.35109,-18.544369,3.9605594
-13.230414,-18.363811,3.945847
-10.24436,-14.08222,3.634508
-10.77907,-14.85642,3.6714053
-11.817083,-16.326733,3.7757072
-13.48485,-18.362453,3.9661558
-12.288916,-16.989788,3.8320303
-12.414721,-17.17437,3.8472662
-12.391784,-17.096895,3.8432603
-12.429626,-17.200624,3.8491945
-9.434608,-12.968555,3.5795865
-12.019456,-16.616898,3.8000271
-11.911526,-16.4661,3.787168
-14.988653,-20.905401,4.157714
-12.800936,-17.710108,3.8931727
-12.281428,-16.97587,3.8310409
-11.802549,-16.309837,3.7740717
-12.141748,-16.778904,3.8143487
-17.798204,-24.634602,4.4869523
-13.197657,-18.289225,3.941136
-9.192539,-12.613755,3.5628128
-7.775566,-10.580417,3.4653337
-10.865265,-14.972201,3.6772058
-15.384291,-21.504333,4.206146
-8.603231,-11.74069,3.5218267
2.6180649,1.5088154,0.50453264
-11.557603,-15.948758,3.744359
-46.06389,-64.52414,8.152243
-11.803995,-16.355854,3.7754774
-10.839671,-14.93645,3.6754613
0.08205147,-0.04805429,1.5942563
-13.77416,-19.121044,4.0105615
-11.177232,-15.409675,3.7050958
-11.964321,-16.540653,3.79348
-8.645152,-11.782859,3.524418
-7.191889,-9.817228,3.4263883
-12.041868,-16.640156,3.8024714
-15.73488,-21.77324,4.2417226
-12.373273,-17.108295,3.8420992
-10.948004,-14.968789,3.6809144
-11.880785,-16.419727,3.783409
-11.08003,-15.32767,3.6980226
-11.978806,-16.540752,3.7946415
-10.837268,-14.937422,3.6753678
-12.334853,-17.055075,3.837535
-11.149535,-15.374367,3.7025702
-15.177559,-21.189676,4.180791
-12.518807,-17.313974,3.8595047
-9.129082,-12.502628,3.5581217
-10.321283,-14.203265,3.6399727
-8.623536,-11.8217,3.524066
-7.3326507,-10.040998,3.4364252
-13.716276,-19.037317,4.0035844
-12.2614765,-16.948692,3.828684
-8.319723,-11.340789,3.5024357
-11.449299,-15.809655,3.732168
-29.533667,-41.75461,6.042418
-9.352385,-12.8057165,3.5732014
-9.93605,-13.657228,3.6135812
-11.553993,-15.967124,3.7445855
-12.449747,-17.227993,3.8515708
-18.77876,-26.397718,4.6359377
-17.672262,-24.762295,4.4877815
-18.194443,-25.518192,4.55671
-17.017372,-23.665411,4.397335
-17.503122,-24.185438,4.4507613
-11.854098,-16.380138,3.7801652
-11.945366,-16.510712,3.7911253
-15.383152,-21.4444,4.204374
-11.675709,-16.128437,3.7588425
-12.05879,-16.671768,3.8047109
-9.985899,-13.707166,3.6166594
-12.283163,-16.985846,3.83146
-15.1186075,-21.1206,4.17414
-12.717704,-17.603218,3.8835196
-10.747065,-14.811888,3.6692257
-12.1491585,-16.793192,3.815342
-11.346413,-15.659862,3.721993
-9.633077,-13.220195,3.5927014
-11.166817,-15.403029,3.7044291
-12.036865,-16.642262,3.8021305
-10.933706,-15.114827,3.684352
-11.424836,-15.753993,3.7288933
-6.4915476,-8.82284,3.377542
-5.821499,-7.8709397,3.329915
-10.286434,-14.130792,3.637211
-1.8555467,-2.400655,3.0638015
-10.683615,-14.697696,3.6644845
-10.277471,-14.132237,3.6368265
-10.409056,-14.33189,3.6460547
-11.907625,-16.456501,3.7865865
-22.164633,-31.172134,5.074976
-5.633889,-7.555773,3.3156915
-11.78594,-16.319191,3.7730055
-12.461138,-17.231915,3.8525922
-10.48077,-14.414576,3.65066
-11.574505,-15.987187,3.7467885
-12.623753,-17.462801,3.87207
-9.867753,-13.544548,3.608644
-12.215084,-16.901314,3.8236456
-12.231144,-16.986916,3.82733
-11.420029,-15.763176,3.7291083
-12.643959,-17.517178,3.8752103
-12.1344795,-16.782316,3.813863
-7.588538,-10.090967,3.4488766
-10.379705,-14.288814,3.6440196
-10.271223,-14.119794,3.6363401
-11.63794,-16.066513,3.7540853
-11.27652,-15.564455,3.7153516
-12.393021,-17.136086,3.844458
-8.685554,-11.901509,3.5281835
-11.997912,-16.58088,3.797294
-10.167513,-13.967816,3.6291542
-6.7595167,-9.164319,3.3958728
-12.320623,-17.045248,3.836121
-11.724711,-16.200703,3.764787
-10.86509,-14.961092,3.6770177
-10.3032,-14.171329,3.6386316
-17.640951,-24.765799,4.486689
-12.402969,-17.141714,3.8454108
-11.869377,-16.404219,3.782062
-11.528555,-15.919025,3.7412024
-12.136211,-16.76422,3.8134944
-15.565987,-21.700008,4.2261615
-11.6729355,-16.125597,3.7585406
-11.154201,-15.156272,3.6944048
-19.16683,-26.930164,4.685338
-10.208768,-14.030335,3.6320462
-15.621459,-21.770603,4.2325773
-11.839258,-16.361332,3.7784507
-15.251136,-21.29935,4.18975
-20.754045,-28.956142,4.877938
-9.459229,-12.982038,3.5809257
-11.4905205,-15.868279,3.7367382
-11.65218,-16.027622,3.754134
-13.902653,-19.300385,4.0258646
-2.4086933,-3.2059295,3.1548574
-13.187683,-18.268139,3.9397464
-11.437563,-15.789759,3.7308874
-12.746072,-17.6363,3.8867164
-7.7090645,-10.48239,3.4607165
-12.184847,-16.853897,3.8198981
-11.997784,-16.5834,3.7973542
-12.0271435,-16.609509,3.8004348
-11.50511,-15.866874,3.737866
-12.665398,-17.202644,3.8681064
-12.042605,-16.651205,3.8028402
-12.030237,-16.612297,3.80076
-10.256377,-14.0905,3.6351888
-9.193928,-12.59745,3.562611
-12.035075,-16.621899,3.8014162
-10.814896,-14.884817,3.6734958
-8.163834,-11.133713,3.4919813
-14.800852,-20.61034,4.134422
-11.755623,-16.244764,3.7684941
-10.913315,-15.042537,3.6810508
-12.091522,-16.720587,3.8086972
-11.623577,-16.057255,3.7526772
-9.868876,-13.4735985,3.6075428
-10.820977,-14.9100485,3.674182
-8.397484,-11.467038,3.5080233
-11.5787,-15.993203,3.7472923
-8.889088,-12.190106,3.542129
-12.499415,-17.352425,3.8590317
-28.028849,-39.663895,5.8492365
-3.345008,-4.262908,3.1701412
-13.122517,-18.192657,3.9324193
-11.861836,-16.394554,3.7811882
-10.7580185,-14.865144,3.670589
-4.32862,-5.820394,3.223628
-12.129163,-16.766827,3.8130035
-13.452353,-18.704842,3.9731562
-10.2079315,-14.042546,3.632207
-10.575696,-14.56615,3.6574397
-12.061624,-16.664682,3.8047385
-12.976278,-17.966402,3.9143806
-10.0979,-13.869184,3.6243858
-12.969988,-17.98909,3.9145136
-12.3309145,-17.048927,3.8370473
-10.247271,-14.091737,3.6347947
-13.5797,-18.781116,3.985479
-6.0249395,-8.1664915,3.344495
-15.998169,-22.387543,4.28
-11.911599,-16.462694,3.7870777
-19.504889,-27.4066,4.729157
-12.01255,-16.591286,3.7987561
-11.689091,-16.145802,3.7603993
-16.974005,-23.760155,4.396522
-12.459555,-17.228722,3.8523755
-12.105633,-16.739807,3.8103647
-12.189508,-16.901976,3.8216193
-17.876665,-25.099524,4.5173373
-12.698731,-17.605812,3.882075
-11.6250105,-16.057919,3.7528105
-12.361809,-17.086851,3.840581
-15.867125,-22.143478,4.2626777
-11.285227,-15.557932,3.7153935
-13.897546,-19.336672,4.026474
-11.218109,-15.474974,3.7093852
-9.337808,-12.802818,3.5724916
-9.729612,-13.328715,3.598855
-11.18651,-15.4228945,3.7060008
-12.036064,-16.640947,3.8020296
-16.088644,-22.490711,4.2901287
-10.914632,-15.0272665,3.680519
-9.91024,-13.609664,3.6116345
-12.179811,-16.836987,3.819021
-9.954871,-13.66392,3.6145453
-11.395113,-15.734172,3.7269545
-10.795002,-14.867143,3.6723037
-13.145773,-18.241089,3.9356365
-11.648272,-16.091763,3.7556195
-11.523558,-15.912827,3.7406297
-7.5082426,-10.204477,3.4470677
-12.038907,-16.629536,3.801937
-10.47794,-14.4146595,3.6505322
-29.362705,-40.720604,5.9708753
-11.799025,-16.30508,3.7736564
-11.063857,-15.253986,3.6942835
-12.983665,-17.97645,3.9152536
-11.918644,-16.46644,3.7877467
-11.15869,-15.39271,3.7036903
-12.250113,-16.944256,3.827651
-15.767049,-21.950226,4.2492566
-13.539754,-18.765678,3.9818523
-11.779999,-16.310001,3.7722726
-11.836794,-16.36028,3.778224
-9.293579,-12.739287,3.5694478
-11.275688,-15.559683,3.7151172
-4.707351,-6.4051375,3.2528594
-12.147432,-16.79653,3.815298
-11.716173,-16.186466,3.7637048
-15.054895,-20.987762,4.1653204
-0.24929978,-0.38713598,2.0702126
-12.725163,-17.602547,3.8840976
-11.232023,-15.499874,3.7109594
-10.361343,-14.256243,3.6426556
-11.9333515,-16.47424,3.7891412
-6.7775435,-9.209472,3.397511
-13.22661,-18.372313,3.9457805
-11.132807,-15.350371,3.7009318
-7.8281198,-10.710356,3.4698346
-11.634731,-16.072922,3.7540083
-11.573076,-15.997571,3.7469652
-11.301756,-15.595194,3.717591
-11.7011795,-16.16588,3.761929
-5.0482216,-6.8063655,3.2755718
-14.0716715,-19.614061,4.048176
0.045797564,-0.11383802,1.6739244
-12.262421,-16.940928,3.8285418
-11.728359,-16.206577,3.7652435
-11.765366,-16.257027,3.7696173
-10.863213,-14.965459,3.6770034
-12.65752,-17.516151,3.876266
-11.679362,-16.135456,3.759331
-11.901569,-16.441786,3.7856898
-11.672247,-16.116955,3.758243
-5.210993,-7.0339217,3.287074
-11.9521265,-16.508512,3.7916036
-11.868946,-16.384249,3.7814674
-12.236186,-16.92422,3.8259747
-13.689669,-19.011404,4.0007305
-12.04844,-16.69485,3.8045301
-13.41046,-18.64917,3.9682455
-11.894968,-16.442225,3.785174
-7.2739744,-9.8703575,3.4309847
-11.522013,-15.912011,3.7404828
-17.415447,-24.366344,4.452375
-12.025019,-16.62672,3.8007474
-6.9378576,-9.4115095,3.4082432
-12.6574135,-17.509285,3.8760645
-10.412231,-14.325566,3.646096
-11.674041,-16.124876,3.758609
-9.697765,-13.309827,3.5970998
-13.552985,-18.786001,3.9834795
-11.717709,-16.218082,3.7647142
-11.873556,-16.396875,3.7821906
-11.717514,-16.186928,3.7638254
-10.317363,-14.18501,3.6394982
-11.731183,-16.201025,3.765314
-14.028917,-19.489223,4.041257
-9.914704,-13.619216,3.6119928
-8.878733,-12.177377,3.541451
-12.791484,-17.697403,3.8920608
-7.151218,-9.704215,3.4227028
-9.438097,-12.930251,3.579123
-11.9620285,-16.519161,3.792694
-11.037149,-15.217582,3.6917481
-7.236331,-9.816555,3.4283986
-13.530151,-18.80159,3.982091
-11.744991,-16.230095,3.7672324
-4.688822,-6.4256454,3.2523975
-8.625896,-11.815825,3.5240781
-10.68224,-14.67605,3.6640706
-12.076925,-16.680645,3.8064098
-11.52182,-15.900598,3.7401476
-10.593544,-14.575687,3.6584063
-11.759649,-16.262993,3.7693276
-17.272188,-24.194477,4.4356766
-11.715688,-16.167633,3.7631383
-10.082056,-13.857148,3.6234694
-11.828423,-16.223736,3.7737267
-11.021021,-15.211293,3.6908867
-13.527065,-18.761965,3.980733
-12.19368,-16.84668,3.8204017
-11.724764,-16.201487,3.764813
-8.482293,-11.5699625,3.5135527
-5.254469,-7.0951486,3.2901545
-10.129698,-13.927642,3.6267815
-12.596075,-17.459902,3.8697748
-10.19455,-14.003313,3.6309605
-11.584933,-15.995503,3.747856
-11.579574,-15.993524,3.7473712
-10.953857,-15.103255,3.6845102
0.74627864,0.38251206,0.86228216
-10.560663,-14.53192,3.6561995
-11.200308,-15.43824,3.7071636
-10.071206,-13.848434,3.6228342
-14.404476,-20.02722,4.0863748
-7.410472,-10.065643,3.4403653
-13.095701,-18.14076,3.9288197
-13.349548,-18.564571,3.9610026
-11.4801,-15.848009,3.7353368
-11.151992,-15.378576,3.702841
-10.920242,-15.034839,3.6809664
-16.431177,-22.993124,4.331607
-12.382336,-17.129074,3.8434064
-11.524307,-15.912505,3.7406802
-11.998823,-16.595903,3.7977881
-6.716755,-9.125304,3.3932302
-13.256801,-18.411978,3.9493074
-13.193129,-18.267534,3.940165
-14.784254,-20.558643,4.131645
-11.079469,-15.282285,3.696065
-12.802881,-17.71139,3.8933644
-10.474224,-14.401808,3.6501546
-9.55789,-13.119665,3.587648
-8.193344,-11.171599,3.4939392
-11.836828,-16.344902,3.7777958
-1.7650036,-2.3172314,3.0521379
-10.761383,-14.82085,3.6700225
-16.010546,-22.418148,4.281849
-13.413862,-18.611649,3.9674652
-11.6930275,-16.156359,3.7610102
-15.61183,-21.793312,4.232444
-8.606184,-11.74565,3.5220416
-11.736504,-16.208744,3.7659554
-9.136574,-12.497283,3.5583756
-13.708066,-19.05527,4.003432
-7.753379,-10.585894,3.4644132
-11.720179,-16.190691,3.764144
-8.061569,-11.011596,3.485346
-12.421048,-17.191946,3.848265
-9.356553,-12.834813,3.5738635
-12.563937,-17.37552,3.8648396
-14.709407,-20.513,4.1243806
-12.622435,-17.4598,3.8718803
-10.411911,-14.315599,3.6459198
-13.921822,-19.309368,4.02765
-11.025975,-15.185301,3.6899595
-12.713068,-17.624723,3.8837523
-16.467226,-23.00876,4.3349285
-14.818768,-20.607285,4.13577
-12.311665,-17.004295,3.8342564
-3.8314304,-5.137287,3.1991706
-8.544232,-11.65824,3.5178037
-13.071157,-18.146461,3.9270167
-11.773549,-16.270617,3.7706523
-10.982408,-15.12979,3.6863403
-10.88273,-14.985817,3.6782215
-9.760093,-13.402562,3.601441
-15.752243,-21.970694,4.2486463
-8.735038,-11.933403,3.530952
-10.26722,-14.119309,3.63615
-6.6844845,-9.067195,3.3907125
-8.934803,-12.219019,3.5446782
-14.314266,-19.90367,4.075697
-11.669554,-16.122692,3.7581887
-11.479731,-15.853043,3.7354484
-52.242943,-72.34558,8.897947
-8.295998,-11.311971,3.5008883
-10.611708,-14.610936,3.6598048
-11.662264,-16.111748,3.757299
-8.297897,-11.322006,3.5011377
